rxn_id,kind,pred_score,ensemble,n_int
ASR,down,0.6592684029844129,0.6592684029844129,1
DASYN140,ko,0.6592518898540086,0.6592518898540086,1
O16A4COLIPAabctex,ko,0.6592406760131688,0.6592406760131688,1
ECA4COLIPAabctex,ko,0.6592406760131688,0.6592406760131688,1
MANptspp,ko,0.6592285003997832,0.6592285003997832,1
PLIPA2G120pp,ko,0.6591836032002037,0.6591836032002037,1
PLIPA2E141pp,ko,0.6591836032002037,0.6591836032002037,1
PLIPA2E120pp,ko,0.6591836032002037,0.6591836032002037,1
FE2t2pp,down,0.6591700288382973,0.6591700288382973,1
FE2t3pp,down,0.6591700288382973,0.6591700288382973,1
ALDD19xr,ko,0.6591608664140322,0.6591608664140322,1
PA181abcpp,ko,0.6591470910679783,0.6591470910679783,1
DKGLCNR2x,oe,0.6591395866749528,0.6591395866749528,1
2DGULRx,oe,0.6591395866749528,0.6591395866749528,1
CTBTabcpp,ko,0.6591083244908411,0.6591083244908411,1
GLNabcpp,down,0.6590938291657953,0.6590938291657953,1
MOGDS,ko,0.6590517216011577,0.6590517216011577,1
3PEPTtex,down,0.6590168867331443,0.6590168867331443,1
HYXNtex,down,0.6590168867331443,0.6590168867331443,1
CDAPPA161,down,0.6589383548427333,0.6589383548427333,1
CDAPPA160,down,0.6589383548427333,0.6589383548427333,1
RIBabcpp,ko,0.6589214218375652,0.6589214218375652,1
GTPDPDP,down,0.6589099671941572,0.6589099671941572,1
ASPabcpp,down,0.6589049198065303,0.6589049198065303,1
ADNUC,ko,0.6588940729357994,0.6588940729357994,1
UACGAMPpp,down,0.6588684322427814,0.6588684322427814,1
XMPtex,ko,0.6588413245411853,0.6588413245411853,1
CBL1abcpp,down,0.6588328109789855,0.6588328109789855,1
LCARS,ko,0.6586960988896875,0.6586960988896875,1
ALCD19,ko,0.6586960988896875,0.6586960988896875,1
CRNDt2rpp,down,0.6586126664360623,0.6586126664360623,1
3HAD60,ko,0.6584884130377281,0.6584884130377281,1
ULA4NFT,oe,0.658480926340686,0.658480926340686,1
PA180abcpp,ko,0.6584795849415418,0.6584795849415418,1
GUACYC,down,0.6584775347216548,0.6584775347216548,1
ACACT3r,down,0.6584417975832758,0.6584417975832758,1
EAR100y,oe,0.6583900217714476,0.6583900217714476,1
R15BPK,oe,0.6582846503874304,0.6582846503874304,1
HEPT2,ko,0.6582210358903436,0.6582210358903436,1
PLIPA1G141pp,ko,0.6582112375244145,0.6582112375244145,1
PACALDt2rpp,down,0.658196552024829,0.658196552024829,1
ACANTHAT,ko,0.6581295034710221,0.6581295034710221,1
EAR141x,ko,0.6580911482485691,0.6580911482485691,1
CU1Opp,ko,0.6580735403892526,0.6580735403892526,1
LPLIPAL2A180,down,0.6580698273782705,0.6580698273782705,1
NTPP10,down,0.658068060647982,0.658068060647982,1
MMCD,oe,0.6580414614645144,0.6580414614645144,1
3HAD180,oe,0.658034897856125,0.658034897856125,1
3HAD181,oe,0.658034897856125,0.658034897856125,1
3HAD80,oe,0.658034897856125,0.658034897856125,1
3HAD121,oe,0.658034897856125,0.658034897856125,1
PGPP120,down,0.6579787025006825,0.6579787025006825,1
ACSERtpp,down,0.6579581821583309,0.6579581821583309,1
TALA,oe,0.6578814991721014,0.6578814991721014,1
BWCOGDS2,ko,0.6578122906452237,0.6578122906452237,1
MMETtex,down,0.6578025741321109,0.6578025741321109,1
3OAR120,down,0.6577812213196789,0.6577812213196789,1
LPLIPAL2E180,ko,0.6577732366046639,0.6577732366046639,1
F6Pt6_2pp,ko,0.6577713351517304,0.6577713351517304,1
APH141,down,0.6577118541509119,0.6577118541509119,1
APH140,down,0.6577118541509119,0.6577118541509119,1
DKGLCNR2y,oe,0.6577103445782845,0.6577103445782845,1
FRD2,down,0.6577030962352219,0.6577030962352219,1
GDPMNP,down,0.6577009884538446,0.6577009884538446,1
